date,exercise,rep_number,form_score,depth_score,alignment_score,stability_score,duration_seconds,eccentric_s,concentric_s,coaching_notes
2026-04-19 22:59:25,Shoulder Press,1,40.0,40.0,0.0,0.0,1.26,1.26,0.0,Keep torso vertical — brace your core
2026-04-19 22:59:25,Shoulder Press,2,42.6,40.0,2.6,0.0,1.6,1.6,0.0,Keep torso vertical — brace your core
2026-04-19 22:59:25,Shoulder Press,3,42.8,40.0,2.8,0.0,3.61,3.61,0.0,Keep torso vertical — brace your core
2026-04-19 22:59:25,Shoulder Press,4,43.9,40.0,0.2,3.7,2.34,2.34,0.0,Keep torso vertical — brace your core
2026-04-19 22:59:25,Shoulder Press,5,40.0,40.0,0.0,0.0,2.02,2.02,0.0,Keep torso vertical — brace your core
2026-04-19 22:59:25,Shoulder Press,6,40.6,40.0,0.6,0.0,1.38,1.38,0.0,Keep torso vertical — brace your core
2026-04-19 22:59:25,Shoulder Press,7,40.0,40.0,0.0,0.0,2.04,2.04,0.0,Keep torso vertical — brace your core
2026-04-19 22:59:25,Shoulder Press,8,40.7,40.0,0.7,0.0,1.2,1.2,0.0,Keep torso vertical — brace your core
2026-04-27 18:26:11,Squat,1,53.2,36.4,16.8,0.0,0.46,0.46,0.0,Keep your torso more upright; Slow down — control the movement
2026-04-27 18:26:11,Squat,2,58.8,39.1,19.7,0.0,1.18,1.18,0.0,Slow down — control the movement
2026-04-27 18:26:11,Squat,3,70.0,39.4,13.8,16.8,1.34,1.34,0.0,Keep your torso more upright; Slow down — control the movement
2026-04-27 18:26:11,Squat,4,52.8,38.8,14.0,0.0,0.56,0.56,0.0,Keep your torso more upright; Slow down — control the movement
2026-04-27 18:27:47,Squat,1,60.0,36.9,12.5,10.6,0.82,0.82,0.0,Keep your torso more upright; Slow down — control the movement
2026-04-27 18:27:47,Squat,2,58.1,39.6,13.2,5.3,0.76,0.76,0.0,Keep your torso more upright; Slow down — control the movement
2026-04-27 18:27:47,Squat,3,66.5,38.4,17.6,10.5,1.04,1.04,0.0,Keep your torso more upright; Slow down — control the movement
2026-04-27 18:27:47,Squat,4,65.0,36.9,15.3,12.8,0.8,0.8,0.0,Keep your torso more upright; Slow down — control the movement
2026-04-27 18:27:47,Squat,5,63.0,39.4,15.3,8.3,1.13,1.13,0.0,Keep your torso more upright; Slow down — control the movement
2026-04-27 18:27:47,Squat,6,59.7,37.5,16.5,5.7,0.28,0.28,0.0,Keep your torso more upright; Slow down — control the movement
2026-04-27 18:27:47,Squat,7,61.7,37.0,12.6,12.1,0.95,0.95,0.0,Keep your torso more upright; Slow down — control the movement
2026-04-27 18:27:47,Squat,8,59.5,38.3,15.4,5.8,1.23,1.23,0.0,Keep your torso more upright; Slow down — control the movement
2026-04-27 18:27:47,Squat,9,55.7,39.8,15.9,0.0,1.08,1.08,0.0,Keep your torso more upright; Slow down — control the movement
2026-04-27 18:27:47,Squat,10,67.8,37.4,14.3,16.1,0.93,0.93,0.0,Keep your torso more upright; Slow down — control the movement
2026-04-27 18:27:47,Squat,11,56.3,40.0,13.3,3.0,2.13,2.13,0.0,Keep your torso more upright; Slow down — control the movement
